Order_ID,Order_Date,Ship_Date,Customer_ID,Category,Product,Region,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Shipping_Method,Order_Status
ORD1034,2024-12-04,2024-12-05,CUST0259,Clothing,Jacket,West,3,151.58,0.15,386.53,235.82,150.71,38.99,Same-Day,Returned
ORD1035,2023-01-04,2023-01-06,CUST0327,Home & Kitchen,Blender,East,1,77.06,0.2,61.65,38.94,22.71,36.84,Express,Delivered
ORD1036,2023-03-19,2023-03-20,CUST0280,Clothing,Dress,North,5,105.45,0.1,474.53,238.28,236.25,49.79,Same-Day,Cancelled
ORD1037,2024-01-09,2024-01-14,CUST0108,Home & Kitchen,Cookware Set,South,5,128.62,0.0,643.1,294.78,348.32,54.16,Standard,Cancelled
ORD1038,2024-09-27,2024-09-28,CUST0477,Beauty,Moisturizer,South,3,50.2,0.2,120.48,80.01,40.47,33.59,Same-Day,Delivered
ORD1039,2024-02-26,2024-02-27,CUST0416,Clothing,Jeans,South,4,40.24,0.15,136.82,102.19,34.63,25.31,Same-Day,Returned
ORD1040,2023-08-16,2023-08-21,CUST0236,Home & Kitchen,Coffee Maker,East,1,87.25,0.0,87.25,54.24,33.01,37.83,Standard,Returned
ORD1041,2023-10-13,2023-10-18,CUST0143,Home & Kitchen,Coffee Maker,East,2,51.37,0.0,102.74,54.42,48.32,47.03,Standard,Pending
ORD1042,2023-01-29,2023-02-03,CUST0134,Beauty,Sunscreen,South,4,27.63,0.2,88.42,61.59,26.83,30.34,Standard,Returned
ORD1043,2023-11-18,2023-11-20,CUST0262,Books,Cookbook,North,1,17.17,0.05,16.31,8.91,7.4,45.37,Express,Delivered
ORD1044,2024-06-16,2024-06-17,CUST0482,Sports,Fitness Tracker,South,2,69.38,0.15,117.95,74.54,43.41,36.8,Same-Day,Delivered
ORD1045,2024-11-10,2024-11-15,CUST0154,Home & Kitchen,Knife Set,Central,1,85.93,0.0,85.93,49.38,36.55,42.53,Standard,Delivered
ORD1046,2023-07-16,2023-07-18,CUST0195,Home & Kitchen,Knife Set,South,3,53.14,0.0,159.42,89.42,70.0,43.91,Express,Delivered
ORD1047,2023-10-21,2023-10-26,CUST0297,Books,Tech Manual,Central,3,41.18,0.2,98.83,55.6,43.23,43.74,Standard,Delivered
ORD1048,2024-04-29,2024-04-30,CUST0044,Beauty,Lipstick,East,4,17.84,0.15,60.66,35.16,25.5,42.04,Same-Day,Delivered
ORD1049,2023-11-14,2023-11-19,CUST0076,Books,Tech Manual,North,3,31.8,0.2,76.32,47.41,28.91,37.88,Standard,Returned
ORD1050,2024-02-29,2024-03-01,CUST0368,Electronics,Laptop,West,4,1104.64,0.2,3534.85,2052.71,1482.14,41.93,Same-Day,Delivered
ORD1051,2023-04-20,2023-04-22,CUST0412,Sports,Bicycle Helmet,Central,2,36.38,0.15,61.85,32.82,29.03,46.94,Express,Delivered
ORD1052,2023-05-17,2023-05-19,CUST0287,Sports,Yoga Mat,Central,5,26.48,0.2,105.92,62.79,43.13,40.72,Express,Delivered
ORD1053,2024-07-15,2024-07-17,CUST0381,Home & Kitchen,Knife Set,West,5,77.9,0.1,350.55,208.52,142.03,40.52,Express,Cancelled
ORD1054,2024-06-17,2024-06-19,CUST0141,Sports,Running Shoes,West,2,134.59,0.0,269.18,162.36,106.82,39.68,Express,Delivered
ORD1055,2023-03-24,2023-03-29,CUST0197,Electronics,Headphones,South,2,89.76,0.0,179.52,112.85,66.67,37.14,Standard,Delivered
ORD1056,2024-03-01,2024-03-06,CUST0216,Beauty,Serum,West,1,53.89,0.0,53.89,30.1,23.79,44.15,Standard,Delivered
ORD1057,2023-11-02,2023-11-04,CUST0489,Books,Business Book,West,5,18.47,0.0,92.35,58.97,33.38,36.15,Express,Returned
ORD1058,2024-03-22,2024-03-24,CUST0173,Books,Tech Manual,West,5,55.93,0.05,265.67,138.11,127.56,48.01,Express,Delivered
ORD1059,2024-02-08,2024-02-09,CUST0014,Beauty,Serum,North,4,84.17,0.1,303.01,187.47,115.54,38.13,Same-Day,Delivered
ORD1060,2024-01-24,2024-01-26,CUST0168,Beauty,Perfume,East,2,117.02,0.0,234.04,107.67,126.37,54.0,Express,Delivered
ORD1061,2024-07-06,2024-07-11,CUST0180,Sports,Running Shoes,South,4,81.7,0.0,326.8,177.8,149.0,45.59,Standard,Pending
ORD1062,2023-01-21,2023-01-22,CUST0065,Beauty,Moisturizer,West,1,49.17,0.0,49.17,24.09,25.08,51.01,Same-Day,Delivered
ORD1063,2024-01-13,2024-01-18,CUST0494,Beauty,Moisturizer,North,5,56.91,0.05,270.32,167.85,102.47,37.91,Standard,Delivered
ORD1064,2024-01-20,2024-01-22,CUST0102,Clothing,Jacket,North,1,148.44,0.0,148.44,83.89,64.55,43.49,Express,Cancelled
ORD1065,2024-09-06,2024-09-11,CUST0290,Books,Novel,North,1,15.97,0.0,15.97,9.9,6.07,38.01,Standard,Returned
ORD1066,2023-12-16,2023-12-21,CUST0422,Home & Kitchen,Cookware Set,West,4,231.3,0.0,925.2,509.96,415.24,44.88,Standard,Returned
ORD1067,2023-06-06,2023-06-08,CUST0268,Electronics,Smartwatch,East,3,307.9,0.2,738.96,500.6,238.36,32.26,Express,Delivered
ORD1068,2023-10-02,2023-10-04,CUST0426,Books,Tech Manual,North,4,42.95,0.2,137.44,102.43,35.01,25.47,Express,Returned
ORD1069,2024-01-24,2024-01-26,CUST0436,Home & Kitchen,Knife Set,East,2,74.03,0.1,133.25,84.7,48.55,36.44,Express,Delivered
ORD1070,2024-09-02,2024-09-03,CUST0285,Clothing,Dress,North,2,77.39,0.0,154.78,80.19,74.59,48.19,Same-Day,Cancelled
ORD1071,2023-09-04,2023-09-05,CUST0365,Books,Novel,West,1,11.41,0.05,10.84,6.25,4.59,42.34,Same-Day,Delivered
ORD1072,2023-11-10,2023-11-11,CUST0243,Sports,Yoga Mat,Central,1,27.83,0.05,26.44,16.37,10.07,38.09,Same-Day,Delivered
ORD1073,2024-12-20,2024-12-22,CUST0129,Books,Cookbook,South,4,34.93,0.1,125.75,72.12,53.63,42.65,Express,Delivered
ORD1074,2024-12-07,2024-12-12,CUST0379,Electronics,Laptop,West,3,858.78,0.1,2318.71,1649.31,669.4,28.87,Standard,Delivered
ORD1075,2023-10-31,2023-11-05,CUST0155,Home & Kitchen,Cookware Set,North,5,218.36,0.0,1091.8,673.12,418.68,38.35,Standard,Delivered
ORD1076,2024-12-15,2024-12-20,CUST0386,Beauty,Sunscreen,West,2,18.31,0.0,36.62,20.53,16.09,43.94,Standard,Delivered
ORD1077,2023-07-08,2023-07-13,CUST0442,Electronics,Smartphone,West,5,584.3,0.05,2775.42,1572.04,1203.38,43.36,Standard,Delivered
ORD1078,2023-02-24,2023-03-01,CUST0289,Electronics,Smartphone,East,4,646.52,0.1,2327.47,1489.3,838.17,36.01,Standard,Delivered
ORD1079,2024-09-25,2024-09-30,CUST0195,Electronics,Laptop,West,1,1078.04,0.05,1024.14,615.84,408.3,39.87,Standard,Delivered
ORD1080,2023-03-03,2023-03-04,CUST0051,Sports,Running Shoes,South,5,148.1,0.0,740.5,417.44,323.06,43.63,Same-Day,Pending
ORD1081,2024-07-19,2024-07-24,CUST0210,Beauty,Serum,West,3,68.63,0.0,205.89,102.53,103.36,50.2,Standard,Delivered
ORD1082,2023-10-17,2023-10-18,CUST0037,Beauty,Sunscreen,South,4,18.7,0.0,74.8,37.97,36.83,49.24,Same-Day,Returned
ORD1083,2023-06-02,2023-06-04,CUST0037,Home & Kitchen,Cookware Set,North,2,184.03,0.1,331.25,182.18,149.07,45.0,Express,Returned
ORD1084,2024-03-25,2024-03-30,CUST0156,Clothing,Jacket,West,5,168.87,0.1,759.92,535.52,224.4,29.53,Standard,Delivered
ORD1085,2024-03-18,2024-03-19,CUST0129,Home & Kitchen,Cookware Set,North,5,197.76,0.0,988.8,563.23,425.57,43.04,Same-Day,Delivered
ORD1086,2024-11-19,2024-11-21,CUST0391,Electronics,Laptop,South,5,1092.56,0.0,5462.8,3550.35,1912.45,35.01,Express,Delivered
ORD1087,2024-03-22,2024-03-23,CUST0497,Sports,Fitness Tracker,North,4,122.29,0.0,489.16,317.66,171.5,35.06,Same-Day,Returned
ORD1088,2023-06-14,2023-06-16,CUST0254,Sports,Running Shoes,East,4,89.0,0.15,302.6,167.65,134.95,44.6,Express,Delivered
ORD1089,2023-11-28,2023-12-03,CUST0207,Beauty,Perfume,Central,5,42.3,0.0,211.5,108.48,103.02,48.71,Standard,Pending
ORD1090,2024-09-29,2024-10-01,CUST0390,Electronics,Tablet,North,4,422.97,0.0,1691.88,936.77,755.11,44.63,Express,Delivered
ORD1091,2024-12-16,2024-12-18,CUST0499,Clothing,Jacket,Central,5,94.72,0.0,473.6,254.62,218.98,46.24,Express,Delivered
ORD1092,2023-08-19,2023-08-24,CUST0061,Clothing,Jeans,South,3,66.54,0.1,179.66,106.12,73.54,40.93,Standard,Delivered
ORD1093,2024-04-28,2024-05-03,CUST0075,Sports,Running Shoes,West,5,122.49,0.05,581.83,377.85,203.98,35.06,Standard,Delivered
ORD1094,2023-10-10,2023-10-12,CUST0404,Clothing,Sneakers,Central,5,126.17,0.0,630.85,392.9,237.95,37.72,Express,Delivered
ORD1095,2024-11-06,2024-11-08,CUST0229,Home & Kitchen,Blender,Central,3,82.56,0.2,198.14,140.53,57.61,29.08,Express,Returned
ORD1096,2023-11-26,2023-12-01,CUST0123,Sports,Running Shoes,Central,3,108.67,0.1,293.41,171.3,122.11,41.62,Standard,Pending
ORD1097,2024-01-26,2024-01-28,CUST0406,Sports,Dumbbell Set,South,4,53.36,0.15,181.42,116.24,65.18,35.93,Express,Pending
ORD1098,2023-04-13,2023-04-15,CUST0467,Sports,Yoga Mat,West,2,34.07,0.1,61.33,35.19,26.14,42.62,Express,Delivered
ORD1099,2023-09-29,2023-10-01,CUST0204,Electronics,Laptop,North,4,1234.47,0.0,4937.88,2295.94,2641.94,53.5,Express,Delivered
ORD1100,2024-05-14,2024-05-15,CUST0036,Home & Kitchen,Cookware Set,South,4,289.83,0.15,985.42,688.34,297.08,30.15,Same-Day,Delivered
ORD1101,2024-10-10,2024-10-11,CUST0228,Beauty,Lipstick,South,2,23.94,0.05,45.49,30.91,14.58,32.05,Same-Day,Returned
ORD1102,2024-01-03,2024-01-05,CUST0126,Beauty,Lipstick,Central,1,9.92,0.2,7.94,4.58,3.36,42.32,Express,Delivered
ORD1103,2024-01-27,2024-01-28,CUST0255,Sports,Fitness Tracker,Central,2,62.6,0.0,125.2,71.6,53.6,42.81,Same-Day,Delivered
ORD1104,2023-01-10,2023-01-12,CUST0347,Clothing,Jeans,Central,4,70.9,0.05,269.42,142.1,127.32,47.26,Express,Cancelled
ORD1105,2024-03-10,2024-03-11,CUST0433,Clothing,T-Shirt,East,4,43.36,0.1,156.1,88.43,67.67,43.35,Same-Day,Delivered
ORD1106,2024-08-11,2024-08-13,CUST0152,Clothing,Dress,North,4,57.53,0.05,218.61,129.88,88.73,40.59,Express,Pending
ORD1107,2023-02-20,2023-02-21,CUST0427,Beauty,Perfume,East,3,39.73,0.2,95.35,69.98,25.37,26.61,Same-Day,Delivered
ORD1108,2024-11-25,2024-11-26,CUST0349,Clothing,Sneakers,South,3,78.71,0.0,236.13,135.58,100.55,42.58,Same-Day,Delivered
ORD1109,2024-01-09,2024-01-10,CUST0466,Beauty,Moisturizer,East,1,31.36,0.05,29.79,14.32,15.47,51.93,Same-Day,Delivered
ORD1110,2024-01-10,2024-01-11,CUST0140,Home & Kitchen,Knife Set,South,2,41.05,0.2,65.68,45.8,19.88,30.27,Same-Day,Delivered
ORD1111,2024-04-24,2024-04-29,CUST0495,Home & Kitchen,Knife Set,South,3,73.79,0.0,221.37,135.22,86.15,38.92,Standard,Delivered
ORD1112,2023-09-28,2023-09-29,CUST0189,Beauty,Perfume,East,5,71.92,0.2,287.68,190.2,97.48,33.88,Same-Day,Delivered
ORD1113,2024-09-26,2024-09-27,CUST0313,Books,Self-Help,South,3,13.41,0.0,40.23,21.9,18.33,45.56,Same-Day,Delivered
ORD1114,2023-04-30,2023-05-05,CUST0020,Beauty,Moisturizer,East,4,55.38,0.0,221.52,128.45,93.07,42.01,Standard,Delivered
ORD1115,2024-04-09,2024-04-11,CUST0381,Sports,Yoga Mat,Central,1,26.04,0.1,23.44,12.42,11.02,47.01,Express,Delivered
ORD1116,2024-05-16,2024-05-17,CUST0488,Sports,Fitness Tracker,East,2,119.83,0.15,203.71,112.59,91.12,44.73,Same-Day,Delivered
ORD1117,2023-04-12,2023-04-13,CUST0462,Electronics,Headphones,East,2,115.51,0.0,231.02,143.48,87.54,37.89,Same-Day,Delivered
ORD1118,2024-04-10,2024-04-15,CUST0329,Electronics,Smartwatch,Central,3,196.45,0.0,589.35,377.07,212.28,36.02,Standard,Delivered
ORD1119,2023-07-30,2023-08-04,CUST0284,Electronics,Smartphone,South,3,572.07,0.0,1716.21,1042.42,673.79,39.26,Standard,Returned
ORD1120,2024-09-02,2024-09-07,CUST0075,Books,Novel,South,2,12.29,0.0,24.58,14.94,9.64,39.22,Standard,Delivered
ORD1121,2023-01-16,2023-01-18,CUST0122,Books,Cookbook,Central,2,17.2,0.2,27.52,15.66,11.86,43.1,Express,Returned
ORD1122,2024-06-22,2024-06-27,CUST0244,Home & Kitchen,Blender,West,2,54.92,0.0,109.84,65.72,44.12,40.17,Standard,Delivered
ORD1123,2024-09-21,2024-09-26,CUST0466,Home & Kitchen,Cookware Set,Central,5,120.81,0.1,543.64,298.59,245.05,45.08,Standard,Delivered
ORD1124,2024-03-12,2024-03-13,CUST0365,Home & Kitchen,Knife Set,West,1,32.65,0.05,31.02,20.23,10.79,34.78,Same-Day,Delivered
ORD1125,2024-10-01,2024-10-02,CUST0365,Electronics,Smartphone,East,3,681.49,0.0,2044.47,971.61,1072.86,52.48,Same-Day,Delivered
ORD1126,2023-04-12,2023-04-13,CUST0336,Sports,Fitness Tracker,Central,5,72.59,0.1,326.66,207.28,119.38,36.55,Same-Day,Delivered
ORD1127,2024-04-09,2024-04-11,CUST0049,Beauty,Serum,East,4,56.09,0.0,224.36,119.53,104.83,46.72,Express,Delivered
ORD1128,2024-04-30,2024-05-05,CUST0044,Sports,Running Shoes,North,3,92.69,0.0,278.07,163.33,114.74,41.26,Standard,Delivered
ORD1129,2024-07-29,2024-07-30,CUST0063,Sports,Yoga Mat,West,3,43.35,0.1,117.05,60.08,56.97,48.67,Same-Day,Delivered
ORD1130,2023-04-17,2023-04-18,CUST0080,Home & Kitchen,Knife Set,West,1,87.1,0.1,78.39,44.64,33.75,43.05,Same-Day,Delivered
ORD1131,2023-10-13,2023-10-14,CUST0220,Clothing,T-Shirt,Central,3,40.36,0.0,121.08,57.27,63.81,52.7,Same-Day,Delivered
ORD1132,2023-10-01,2023-10-06,CUST0360,Books,Tech Manual,East,5,29.79,0.15,126.61,91.74,34.87,27.54,Standard,Delivered
ORD1133,2024-02-15,2024-02-20,CUST0325,Home & Kitchen,Air Fryer,North,1,100.77,0.0,100.77,56.76,44.01,43.67,Standard,Delivered
ORD1134,2024-01-14,2024-01-16,CUST0398,Electronics,Tablet,Central,2,411.86,0.05,782.53,426.83,355.7,45.46,Express,Delivered
ORD1135,2024-11-21,2024-11-26,CUST0339,Books,Business Book,West,1,14.64,0.2,11.71,8.4,3.31,28.27,Standard,Delivered
ORD1136,2023-04-27,2023-04-29,CUST0146,Sports,Fitness Tracker,Central,4,82.13,0.0,328.52,197.44,131.08,39.9,Express,Delivered
ORD1137,2023-02-26,2023-03-03,CUST0485,Sports,Fitness Tracker,South,3,52.63,0.05,150.0,102.14,47.86,31.91,Standard,Delivered
ORD1138,2024-03-16,2024-03-21,CUST0273,Clothing,Jacket,South,3,118.37,0.0,355.11,195.12,159.99,45.05,Standard,Delivered
ORD1139,2024-03-22,2024-03-27,CUST0040,Books,Tech Manual,East,3,31.16,0.2,74.78,55.94,18.84,25.19,Standard,Delivered
ORD1140,2023-04-28,2023-04-30,CUST0167,Books,Self-Help,South,5,17.26,0.15,73.36,46.04,27.32,37.24,Express,Delivered
ORD1141,2024-03-22,2024-03-23,CUST0041,Books,Self-Help,West,3,13.15,0.2,31.56,18.59,12.97,41.1,Same-Day,Delivered
ORD1142,2024-10-10,2024-10-15,CUST0100,Home & Kitchen,Air Fryer,East,2,118.97,0.0,237.94,110.71,127.23,53.47,Standard,Delivered
ORD1143,2024-09-08,2024-09-13,CUST0336,Home & Kitchen,Coffee Maker,North,2,59.28,0.0,118.56,58.03,60.53,51.05,Standard,Delivered
ORD1144,2024-11-28,2024-11-29,CUST0320,Clothing,Dress,East,4,109.36,0.2,349.95,247.54,102.41,29.26,Same-Day,Delivered
ORD1145,2023-11-07,2023-11-09,CUST0181,Beauty,Lipstick,Central,2,17.8,0.05,33.82,19.17,14.65,43.32,Express,Delivered
ORD1146,2023-10-21,2023-10-26,CUST0438,Electronics,Headphones,North,4,116.79,0.0,467.16,244.67,222.49,47.63,Standard,Delivered
ORD1147,2023-02-12,2023-02-14,CUST0293,Books,Tech Manual,South,5,40.53,0.1,182.39,113.66,68.73,37.68,Express,Cancelled
ORD1148,2023-12-18,2023-12-19,CUST0331,Home & Kitchen,Cookware Set,South,4,199.27,0.0,797.08,430.51,366.57,45.99,Same-Day,Delivered
ORD1149,2023-06-12,2023-06-14,CUST0145,Electronics,Laptop,West,4,1294.49,0.1,4660.16,2871.44,1788.72,38.38,Express,Delivered
ORD1150,2023-03-09,2023-03-11,CUST0348,Sports,Running Shoes,West,5,63.71,0.15,270.77,184.59,86.18,31.83,Express,Delivered
ORD1151,2024-11-10,2024-11-15,CUST0159,Home & Kitchen,Air Fryer,West,5,183.79,0.0,918.95,428.51,490.44,53.37,Standard,Cancelled
ORD1152,2023-12-03,2023-12-08,CUST0425,Clothing,Sneakers,Central,1,86.86,0.05,82.52,50.27,32.25,39.08,Standard,Delivered
ORD1153,2023-08-08,2023-08-10,CUST0249,Electronics,Smartwatch,South,5,239.46,0.0,1197.3,612.75,584.55,48.82,Express,Cancelled
ORD1154,2024-06-03,2024-06-04,CUST0453,Clothing,Jeans,Central,2,42.86,0.2,68.58,52.09,16.49,24.04,Same-Day,Returned
ORD1155,2023-07-05,2023-07-06,CUST0415,Electronics,Headphones,South,5,68.66,0.05,326.13,165.08,161.05,49.38,Same-Day,Delivered
ORD1156,2024-03-30,2024-03-31,CUST0384,Beauty,Perfume,West,1,75.98,0.15,64.58,45.13,19.45,30.12,Same-Day,Delivered
ORD1157,2023-07-18,2023-07-20,CUST0293,Clothing,Sneakers,West,2,86.85,0.2,138.96,105.41,33.55,24.14,Express,Delivered
ORD1158,2023-07-24,2023-07-25,CUST0129,Sports,Running Shoes,North,4,104.26,0.05,396.19,268.26,127.93,32.29,Same-Day,Delivered
ORD1159,2024-06-12,2024-06-17,CUST0391,Beauty,Perfume,South,3,88.91,0.0,266.73,157.98,108.75,40.77,Standard,Delivered
ORD1160,2023-08-16,2023-08-18,CUST0477,Home & Kitchen,Knife Set,North,5,37.84,0.05,179.74,88.61,91.13,50.7,Express,Cancelled
ORD1161,2023-03-25,2023-03-27,CUST0164,Sports,Yoga Mat,North,4,34.06,0.0,136.24,71.83,64.41,47.28,Express,Delivered
ORD1162,2024-04-28,2024-04-29,CUST0389,Beauty,Lipstick,West,2,11.75,0.0,23.5,14.89,8.61,36.64,Same-Day,Returned
ORD1163,2023-06-03,2023-06-04,CUST0312,Sports,Fitness Tracker,Central,1,121.47,0.0,121.47,60.88,60.59,49.88,Same-Day,Cancelled
ORD1164,2024-03-05,2024-03-06,CUST0235,Sports,Yoga Mat,North,3,26.13,0.0,78.39,36.02,42.37,54.05,Same-Day,Returned
ORD1165,2023-09-05,2023-09-06,CUST0220,Electronics,Smartwatch,North,5,283.01,0.15,1202.79,782.63,420.16,34.93,Same-Day,Delivered
ORD1166,2023-03-29,2023-03-30,CUST0035,Books,Cookbook,Central,2,26.41,0.0,52.82,30.79,22.03,41.71,Same-Day,Pending
ORD1167,2023-02-14,2023-02-15,CUST0192,Books,Tech Manual,East,5,45.62,0.05,216.69,142.49,74.2,34.24,Same-Day,Delivered
ORD1168,2024-11-03,2024-11-04,CUST0298,Beauty,Moisturizer,East,3,50.54,0.0,151.62,75.54,76.08,50.18,Same-Day,Delivered
ORD1169,2024-12-02,2024-12-04,CUST0246,Clothing,T-Shirt,South,3,31.38,0.2,75.31,54.47,20.84,27.67,Express,Pending
ORD1170,2023-07-24,2023-07-29,CUST0159,Clothing,T-Shirt,Central,4,16.11,0.0,64.44,29.56,34.88,54.13,Standard,Delivered
ORD1171,2023-10-20,2023-10-22,CUST0025,Sports,Fitness Tracker,East,4,69.27,0.2,221.66,160.53,61.13,27.58,Express,Returned
ORD1172,2024-01-31,2024-02-02,CUST0255,Home & Kitchen,Blender,West,3,65.22,0.05,185.88,117.13,68.75,36.99,Express,Pending
ORD1173,2024-03-16,2024-03-17,CUST0093,Home & Kitchen,Cookware Set,Central,3,259.23,0.15,661.04,415.99,245.05,37.07,Same-Day,Pending
ORD1174,2024-04-01,2024-04-02,CUST0086,Home & Kitchen,Air Fryer,West,1,88.61,0.15,75.32,45.11,30.21,40.11,Same-Day,Delivered
ORD1175,2024-03-21,2024-03-23,CUST0406,Home & Kitchen,Knife Set,North,1,72.61,0.0,72.61,41.6,31.01,42.71,Express,Delivered
ORD1176,2023-02-01,2023-02-06,CUST0348,Electronics,Smartwatch,West,3,277.27,0.15,707.04,487.34,219.7,31.07,Standard,Returned
ORD1177,2024-01-28,2024-01-29,CUST0079,Electronics,Laptop,West,1,917.0,0.15,779.45,479.83,299.62,38.44,Same-Day,Delivered
ORD1178,2024-01-11,2024-01-13,CUST0143,Home & Kitchen,Air Fryer,South,4,170.57,0.1,614.05,325.82,288.23,46.94,Express,Delivered
ORD1179,2023-05-01,2023-05-03,CUST0361,Electronics,Smartphone,West,2,648.71,0.05,1232.55,820.89,411.66,33.4,Express,Delivered
ORD1180,2023-05-19,2023-05-24,CUST0461,Clothing,Sneakers,West,3,121.46,0.05,346.16,178.56,167.6,48.42,Standard,Delivered
ORD1181,2023-11-04,2023-11-09,CUST0475,Electronics,Headphones,South,3,155.43,0.1,419.66,260.39,159.27,37.95,Standard,Delivered
ORD1182,2023-08-31,2023-09-02,CUST0284,Home & Kitchen,Cookware Set,Central,2,123.27,0.0,246.54,150.0,96.54,39.16,Express,Delivered
ORD1183,2024-02-12,2024-02-13,CUST0270,Home & Kitchen,Knife Set,West,5,36.79,0.0,183.95,85.2,98.75,53.68,Same-Day,Delivered
